"DateTime","Positive","Neutral","Negative","Price"
"2019-07-19 00:00:00",330,2380,91,220.26
"2019-07-20 00:00:00",492,3353,122,228.01
"2019-07-21 00:00:00",428,3566,115,223.56
"2019-07-22 00:00:00",545,4293,104,219.935
"2019-07-23 00:00:00",455,4132,109,213.825
"2019-07-24 00:00:00",493,4242,78,209.73
"2019-07-25 00:00:00",481,4257,86,220.655
"2019-07-26 00:00:00",451,4310,101,216.935
"2019-07-27 00:00:00",336,2344,127,213.335
"2019-07-28 00:00:00",345,2597,70,205.615
"2019-07-29 00:00:00",366,2740,74,210.73000000000002
"2019-07-30 00:00:00",440,2734,88,209.485
"2019-07-31 00:00:00",532,2863,77,214.14499999999998
"2019-08-01 00:00:00",391,2822,56,215.16
"2019-08-02 00:00:00",417,2954,73,218.825
"2019-08-03 00:00:00",336,2336,39,220.425
"2019-08-04 00:00:00",264,2246,67,220.575
"2019-08-05 00:00:00",1405,3413,63,229.68
"2019-08-06 00:00:00",952,3467,83,231.105
"2019-08-07 00:00:00",637,3268,89,225.95
"2019-08-08 00:00:00",642,3349,92,220.9
"2019-08-09 00:00:00",521,3459,138,214.3
"2019-08-10 00:00:00",436,2929,130,207.79
"2019-08-11 00:00:00",456,2767,92,211.28
"2019-08-12 00:00:00",465,3011,75,213.26999999999998
"2019-08-13 00:00:00",685,3031,94,207.365
"2019-08-14 00:00:00",884,3596,189,196.035
"2019-08-15 00:00:00",697,3666,211,181.745
"2019-08-16 00:00:00",551,2983,161,183.43
"2019-08-17 00:00:00",541,2676,142,184.55
"2019-08-18 00:00:00",575,2894,137,190.8
"2019-08-19 00:00:00",674,3532,116,198.35
"2019-08-20 00:00:00",659,3092,113,198.915
"2019-08-21 00:00:00",651,3400,145,188.72500000000002
"2019-08-22 00:00:00",557,3245,182,188.98000000000002
"2019-08-23 00:00:00",443,3259,128,192.655
"2019-08-24 00:00:00",399,2568,90,190.555
"2019-08-25 00:00:00",445,2479,66,188
"2019-08-26 00:00:00",594,2992,85,190.045
"2019-08-27 00:00:00",667,3107,148,186.895
"2019-08-28 00:00:00",647,4148,189,177.18
"2019-08-29 00:00:00",532,3821,219,168.85500000000002
"2019-08-30 00:00:00",593,3465,101,168.20999999999998
"2019-08-31 00:00:00",417,2769,74,170.64
"2019-09-01 00:00:00",400,2811,99,171.06
"2019-09-02 00:00:00",539,3398,126,176.12
"2019-09-03 00:00:00",494,3472,119,178.88
"2019-09-04 00:00:00",551,4205,114,177.26
"2019-09-05 00:00:00",561,3563,167,172.965
"2019-09-06 00:00:00",555,3133,190,172.02499999999998
"2019-09-07 00:00:00",458,2670,54,174.89499999999998
"2019-09-08 00:00:00",543,2995,82,180.78
"2019-09-09 00:00:00",550,3032,87,181.12
"2019-09-10 00:00:00",540,3215,86,180.71
"2019-09-11 00:00:00",412,3270,95,178.43
"2019-09-12 00:00:00",521,3378,105,179.79000000000002
"2019-09-13 00:00:00",545,3047,106,179.91
"2019-09-14 00:00:00",641,3010,98,184.94
"2019-09-15 00:00:00",537,3575,95,188.805
"2019-09-16 00:00:00",698,4249,194,194.225
"2019-09-17 00:00:00",810,4673,243,205.745
"2019-09-18 00:00:00",728,5130,224,212.7
"2019-09-19 00:00:00",808,4616,193,213.11
"2019-09-20 00:00:00",771,3968,90,217.35000000000002
"2019-09-21 00:00:00",472,2935,88,217.57999999999998
"2019-09-22 00:00:00",496,2783,94,210.94
"2019-09-23 00:00:00",573,3207,99,205.26
"2019-09-24 00:00:00",637,4503,291,179.31
"2019-09-25 00:00:00",512,3420,96,168.925
"2019-09-26 00:00:00",511,2987,127,161.985
"2019-09-27 00:00:00",547,3020,139,169.39499999999998
"2019-09-28 00:00:00",465,2436,102,172.42000000000002
"2019-09-29 00:00:00",490,2453,113,169.935
"2019-09-30 00:00:00",561,2971,98,173.405
"2019-10-01 00:00:00",508,3339,157,180.05
"2019-10-02 00:00:00",400,2680,116,178.075
"2019-10-03 00:00:00",448,2697,81,175.765
"2019-10-04 00:00:00",512,2631,99,175.45999999999998
"2019-10-05 00:00:00",393,2280,87,174.925
"2019-10-06 00:00:00",421,2639,78,172.86
"2019-10-07 00:00:00",486,3129,77,175.91500000000002
"2019-10-08 00:00:00",574,3181,71,181.575
"2019-10-09 00:00:00",714,3803,187,187.70499999999998
"2019-10-10 00:00:00",648,3926,160,191.265
"2019-10-11 00:00:00",732,3810,182,188.595
"2019-10-12 00:00:00",489,2767,101,181.45999999999998
"2019-10-13 00:00:00",534,2788,102,182.01999999999998
"2019-10-14 00:00:00",582,3217,75,184.34
"2019-10-15 00:00:00",704,3253,164,183.01
"2019-10-16 00:00:00",750,2912,103,176.695
"2019-10-17 00:00:00",651,2936,93,176.08499999999998
"2019-10-18 00:00:00",448,2721,71,173.16
"2019-10-19 00:00:00",478,2425,62,172.85500000000002
"2019-10-20 00:00:00",436,2343,66,173.35500000000002
"2019-10-21 00:00:00",488,2721,50,175.26
"2019-10-22 00:00:00",596,3200,101,173.32
"2019-10-23 00:00:00",572,3323,183,162.905
"2019-10-24 00:00:00",444,3104,88,161.675
"2019-10-25 00:00:00",516,3367,162,174.31
"2019-10-26 00:00:00",513,3259,145,186.38
"2019-10-27 00:00:00",562,2687,62,183.09
"2019-10-28 00:00:00",539,2817,77,185.49
"2019-10-29 00:00:00",562,3005,82,187.47
"2019-10-30 00:00:00",588,2814,86,186.315
"2019-10-31 00:00:00",540,2756,72,181.82
"2019-11-01 00:00:00",641,2332,147,181.34
"2019-11-02 00:00:00",469,2307,78,184.195
"2019-11-03 00:00:00",415,2470,61,182.205
"2019-11-04 00:00:00",463,2740,217,185.17000000000002
"2019-11-05 00:00:00",524,2839,70,187.45
"2019-11-06 00:00:00",531,2804,86,191.32999999999998
"2019-11-07 00:00:00",611,2553,62,188.41
"2019-11-08 00:00:00",491,2853,84,184.59
"2019-11-09 00:00:00",497,2265,78,184.28
"2019-11-10 00:00:00",492,2469,64,187.805
"2019-11-11 00:00:00",571,2721,80,187.26
"2019-11-12 00:00:00",547,3033,95,184.93
"2019-11-13 00:00:00",519,2900,98,187.51
"2019-11-14 00:00:00",513,2890,92,185.88
"2019-11-15 00:00:00",520,2952,93,182.10500000000002
"2019-11-16 00:00:00",474,2717,72,181.435
"2019-11-17 00:00:00",451,2669,53,183.51
"2019-11-18 00:00:00",492,3105,76,179.68
"2019-11-19 00:00:00",598,3066,81,175.68
"2019-11-20 00:00:00",1562,3025,92,175.56
"2019-11-21 00:00:00",1683,3422,189,166.115
"2019-11-22 00:00:00",1100,3817,161,150.60000000000002
"2019-11-23 00:00:00",967,2763,99,150.75
"2019-11-24 00:00:00",1123,2755,86,146.35000000000002
"2019-11-25 00:00:00",1357,3302,108,142.195
"2019-11-26 00:00:00",1190,2940,120,147.05
"2019-11-27 00:00:00",1053,3652,240,148.68
"2019-11-28 00:00:00",817,2971,142,152.33499999999998
"2019-11-29 00:00:00",713,3114,115,154.40499999999997
"2019-11-30 00:00:00",740,3633,113,152.98000000000002
"2019-12-01 00:00:00",594,3548,84,149.63
"2019-12-02 00:00:00",658,3347,118,149.7
"2019-12-03 00:00:00",636,3871,173,148.325
"2019-12-04 00:00:00",610,3292,163,148.19
"2019-12-05 00:00:00",646,3234,151,146.685
"2019-12-06 00:00:00",574,3237,136,148.11
"2019-12-07 00:00:00",518,2780,125,148.82999999999998
"2019-12-08 00:00:00",602,2948,215,149.53
"2019-12-09 00:00:00",551,3280,300,149.315
"2019-12-10 00:00:00",592,3151,207,146.305
"2019-12-11 00:00:00",582,4892,131,144.56
"2019-12-12 00:00:00",565,4073,133,142.82999999999998
"2019-12-13 00:00:00",534,3310,101,144.345
"2019-12-14 00:00:00",458,2897,266,143.45
"2019-12-15 00:00:00",490,3035,158,142.32999999999998
"2019-12-16 00:00:00",506,3924,163,136.45499999999998
"2019-12-17 00:00:00",581,4193,279,126.445
"2019-12-18 00:00:00",574,5302,209,125.66
"2019-12-19 00:00:00",589,4196,222,130.10999999999999
"2019-12-20 00:00:00",691,3058,115,127.73
"2019-12-21 00:00:00",710,2580,105,127.8
"2019-12-22 00:00:00",468,2730,97,130.365
"2019-12-23 00:00:00",545,3501,126,130.85500000000002
"2019-12-24 00:00:00",591,2911,119,128.31
"2019-12-25 00:00:00",640,2715,110,125.88
"2019-12-26 00:00:00",549,3256,164,128.32
"2019-12-27 00:00:00",466,3039,161,124.72
"2019-12-28 00:00:00",469,2629,141,128.015
"2019-12-29 00:00:00",470,2910,105,132.86
"2019-12-30 00:00:00",514,3028,162,133.23
"2019-12-31 00:00:00",1011,3033,152,130.73
"2020-01-01 00:00:00",1479,2673,89,130.70999999999998
"2020-01-02 00:00:00",580,3273,128,128.51
"2020-01-03 00:00:00",507,3135,157,130.475
"2020-01-04 00:00:00",410,2657,131,134.35
"2020-01-05 00:00:00",539,2892,167,136.365
"2020-01-06 00:00:00",598,3382,153,139.72500000000002
"2020-01-07 00:00:00",556,3162,122,142.11
"2020-01-08 00:00:00",527,3043,117,142.52999999999997
"2020-01-09 00:00:00",469,3260,116,138.43
"2020-01-10 00:00:00",1636,3002,106,140.28
"2020-01-11 00:00:00",2443,2681,87,145.005
"2020-01-12 00:00:00",2100,2676,73,144.22500000000002
"2020-01-13 00:00:00",1670,3035,116,144.70499999999998
"2020-01-14 00:00:00",1527,4450,129,157.01
"2020-01-15 00:00:00",1240,3748,101,165.32
"2020-01-16 00:00:00",1121,3193,152,162.90499999999997
